wavenumber,d-methionine_raw,d-methionine_prob,d-leucine_raw,d-leucine_prob
2002.31,125.92157745361328,0.9999988,492.8000183105469,0.99362755
2005.26,131.08351492087016,0.9999988,567.4619538238109,0.99362755
2008.21,138.18484291184038,0.9999988,584.8743054697,0.99362755
2011.15,143.5700076101105,0.9999988,540.6795389240094,0.99362755
2014.09,136.15714214250872,0.9999988,515.2302090175847,0.99362755
2017.02,134.4379052589495,0.9999988,564.3608829514991,0.99362755
2019.96,123.66644734461443,0.9999988,551.8545678338259,0.99362755
2022.89,118.35783236576502,0.9999988,465.3203255710676,0.99362755
2025.81,115.6957497394714,0.9999988,557.3559107332876,0.99362755
2028.73,108.43187709808744,0.9999988,531.7130586601986,0.99362755
2031.65,103.30883863146508,0.9999988,439.47153197763043,0.99362755
2034.57,111.84414778394404,0.9999988,512.0126578725393,0.99362755
2037.48,126.6705612791331,0.9999988,513.7683318259635,0.99362755
2040.39,130.82977157834577,0.9999988,470.8358233475167,0.99362755
2043.29,136.42365237415612,0.9999988,379.4744565481074,0.99362755
2046.19,123.12341986477846,0.9999988,370.69122605805626,0.99362755
2049.09,112.3254241499737,0.9999988,454.7734225662772,0.99362755
2051.98,126.01543110775427,0.9999988,521.8785530687533,0.99362755
2054.87,128.01566523935517,0.9999988,601.3166225161472,0.99362755
2057.76,125.06662011592461,0.9999988,467.621440786012,0.99362755
2060.64,101.65455697674714,0.9999988,483.1873006372446,0.99362755
2063.52,113.7505275480795,0.9999988,447.26825512359807,0.99362755
2066.39,133.18696003195862,0.9999988,484.4759018208749,0.99362755
2069.27,119.97526968748805,0.9999988,452.12531315240665,0.99362755
2072.13,123.19572547433218,0.9999988,412.7345368147688,0.99362755
2075.0,128.97635430497257,0.9999988,523.0953230892103,0.99362755
2077.86,122.74527730244262,0.9999988,572.3863070499642,0.99362755
2080.71,136.3250686625505,0.9999988,567.3282833068781,0.99362755
2083.57,118.11013277305972,0.9999988,550.1471513816343,0.99362755
2086.42,138.79108150230243,0.9999988,575.3072465568631,0.99362755
2089.27,143.44928654243301,0.9999988,498.6286010529248,0.99362755
2092.11,129.18230549876637,0.9999988,558.1972428375119,0.99362755
2094.95,132.15792847771849,0.9999988,588.5506223736979,0.99362755
2097.79,141.40760738637255,0.9999988,552.9554570012575,0.99362755
2098.91,137.23268565956494,0.9999988,522.658415345307,0.99362755
2102.04,113.38729625403796,0.9999988,448.92204847717875,0.99362755
2105.15,141.0930204209014,0.9999988,549.0537849967409,0.99362755
2108.27,139.5365454199982,0.9999988,540.3789790209688,0.99362755
2111.38,123.95542917741734,0.9999988,492.03733947351,0.99362755
2114.49,114.57267999206401,0.9999988,696.4072891912974,0.99362755
2117.6,139.15412237163937,0.9999988,586.4325539478349,0.99362755
2120.7,142.4321474593249,0.9999988,563.1045132742622,0.99362755
2123.8,129.27711450491236,0.9999988,486.82273839169864,0.99362755
2126.9,141.30297877823685,0.9999988,551.8592125310532,0.99362755
2129.99,132.49717228462484,0.9999988,620.3806356639469,0.99362755
2133.08,142.6155111141064,0.9999988,570.7802318757705,0.99362755
2136.17,136.1010246506674,0.9999988,517.4565722722846,0.99362755
2139.25,151.8685409972415,0.9999988,553.4664916870613,0.99362755
2142.33,127.83173687317387,0.9999988,534.4634137042124,0.99362755
2145.41,124.22810523870902,0.9999988,716.7285849436496,0.99362755
2148.49,112.3728340046128,0.9999988,724.7906193559197,0.99362755
2151.56,148.08811411694302,0.9999988,659.760938593666,0.99362755
2154.63,152.0015406298419,0.9999988,676.9616226796642,0.99362755
2157.69,118.80129824150495,0.9999988,640.5974188917512,0.99362755
2160.75,129.4986762934725,0.9999988,611.9025492651451,0.99362755
2163.81,114.54766383758458,0.9999988,659.7608053850197,0.99362755
2166.87,131.93208584755453,0.9999988,595.261138375299,0.99362755
2169.92,134.10782640337064,0.9999988,678.4331033834981,0.99362755
2172.97,146.90654222922183,0.9999988,563.5085802711055,0.99362755
2176.02,146.87053830526554,0.9999988,802.8988532717983,0.99362755
2179.06,134.6820781996952,0.9999988,713.5557145000237,0.99362755
2182.1,123.30172614339413,0.9999988,801.8452143814934,0.99362755
2185.14,129.7177762679904,0.9999988,851.93129776417,0.99362755
2188.17,131.9704435190889,0.9999988,708.0147025034014,0.99362755
2191.2,132.16220592274624,0.9999988,757.7620172525087,0.99362755
2194.23,148.4040083048854,0.9999988,820.095240758908,0.99362755
2197.26,132.01968321829793,0.9999988,766.7915514514387,0.99362755
2200.28,142.71963797541022,0.9999988,674.2260310261995,0.99362755
2203.3,132.47639264991008,0.9999988,720.7574648735806,0.99362755
2206.31,119.8083764936896,0.9999988,813.1558478294465,0.99362755
2209.32,136.71625896319193,0.9999988,736.4192372049822,0.99362755
2212.33,137.4925427387334,0.9999988,774.2842506593219,0.99362755
2215.34,141.93711174449138,0.9999988,856.4386922251462,0.99362755
2218.34,138.2699448771841,0.9999988,783.6410260949054,0.99362755
2221.34,134.961889495429,0.9999988,885.9398743104591,0.99362755
2224.34,150.133931236946,0.9999988,928.5847619151267,0.99362755
2227.33,131.2683509153647,0.9999988,761.9260287439985,0.99362755
2230.32,111.26564016018571,0.9999988,787.0026078427949,0.99362755
2233.3,130.62463480807497,0.9999988,819.560363482298,0.99362755
2236.29,136.86417917161262,0.9999988,853.6475077647511,0.99362755
2239.27,152.72780279607986,0.9999988,805.3063331846942,0.99362755
2242.24,114.40627101328322,0.9999988,789.0850551645594,0.99362755
2245.22,137.18433317927324,0.9999988,868.8657489303264,0.99362755
2248.19,135.29969905381313,0.9999988,844.5995442019566,0.99362755
2251.16,145.88894794825632,0.9999988,966.9843587716463,0.99362755
2254.12,132.95845471890092,0.9999988,750.343177395809,0.99362755
2257.08,121.27144768061821,0.9999988,887.2269996792186,0.99362755
2260.04,150.99673003235122,0.9999988,929.1178324095648,0.99362755
2263.0,147.0978555281093,0.9999988,893.5148349401364,0.99362755
2265.95,152.42021052811927,0.9999988,975.1251145032791,0.99362755
2268.9,147.6942872809444,0.9999988,852.8571110125507,0.99362755
2271.84,141.43953973369318,0.9999988,876.7937914593092,0.99362755
2274.78,123.57309661655664,0.9999988,1065.686463120923,0.99362755
2277.72,124.13131021267752,0.9999988,1046.95932724344,0.99362755
2280.66,142.26841279565184,0.9999988,900.6960757011752,0.99362755
2283.59,146.30803887584224,0.9999988,793.4540120332974,0.99362755
2286.52,139.35272668339962,0.9999988,841.8457679515219,0.99362755
2289.45,121.81327187535078,0.9999988,999.5104249304937,0.99362755
2292.37,135.83990315099578,0.9999988,1007.9405695012565,0.99362755
2295.29,139.27633081586737,0.9999988,1007.6629003846565,0.99362755
2298.21,154.38462540102017,0.9999988,1026.7353490105368,0.99362755
2301.12,133.67059326171875,0.9999988,1139.3255615234375,0.99362755
